user_id,item_id,category_id,behavior_type,event_time
52,34,4,cart,2026-01-01 00:00:00
93,47,10,view,2026-01-01 00:01:00
15,8,6,view,2026-01-01 00:02:00
72,40,7,cart,2026-01-01 00:03:00
61,49,2,view,2026-01-01 00:04:00
21,44,6,view,2026-01-01 00:05:00
83,19,7,view,2026-01-01 00:06:00
87,42,10,view,2026-01-01 00:07:00
75,41,10,cart,2026-01-01 00:08:00
75,37,2,view,2026-01-01 00:09:00
88,6,2,view,2026-01-01 00:10:00
100,26,10,fav,2026-01-01 00:11:00
24,34,7,fav,2026-01-01 00:12:00
3,45,1,fav,2026-01-01 00:13:00
22,6,8,view,2026-01-01 00:14:00
53,37,3,view,2026-01-01 00:15:00
2,33,6,buy,2026-01-01 00:16:00
88,22,9,cart,2026-01-01 00:17:00
30,21,6,view,2026-01-01 00:18:00
38,6,9,view,2026-01-01 00:19:00
2,6,7,view,2026-01-01 00:20:00
64,48,9,fav,2026-01-01 00:21:00
60,4,2,view,2026-01-01 00:22:00
21,30,8,view,2026-01-01 00:23:00
33,11,8,view,2026-01-01 00:24:00
76,30,2,view,2026-01-01 00:25:00
58,31,4,cart,2026-01-01 00:26:00
22,24,7,view,2026-01-01 00:27:00
89,9,4,cart,2026-01-01 00:28:00
49,3,4,buy,2026-01-01 00:29:00
91,31,6,view,2026-01-01 00:30:00
59,40,10,view,2026-01-01 00:31:00
42,37,6,view,2026-01-01 00:32:00
92,36,10,cart,2026-01-01 00:33:00
60,24,3,view,2026-01-01 00:34:00
80,31,9,view,2026-01-01 00:35:00
15,6,10,cart,2026-01-01 00:36:00
62,2,2,view,2026-01-01 00:37:00
62,20,6,fav,2026-01-01 00:38:00
47,28,7,view,2026-01-01 00:39:00
62,11,9,view,2026-01-01 00:40:00
51,4,3,view,2026-01-01 00:41:00
55,15,10,cart,2026-01-01 00:42:00
64,6,3,view,2026-01-01 00:43:00
3,49,7,fav,2026-01-01 00:44:00
51,30,4,fav,2026-01-01 00:45:00
7,38,8,view,2026-01-01 00:46:00
21,2,7,buy,2026-01-01 00:47:00
73,15,5,view,2026-01-01 00:48:00
39,11,7,view,2026-01-01 00:49:00
18,8,3,view,2026-01-01 00:50:00
4,26,2,fav,2026-01-01 00:51:00
89,45,6,view,2026-01-01 00:52:00
60,44,2,view,2026-01-01 00:53:00
14,5,3,view,2026-01-01 00:54:00
9,6,6,view,2026-01-01 00:55:00
90,26,5,view,2026-01-01 00:56:00
53,4,8,fav,2026-01-01 00:57:00
2,19,9,cart,2026-01-01 00:58:00
84,20,3,view,2026-01-01 00:59:00
92,33,10,buy,2026-01-01 01:00:00
60,20,3,view,2026-01-01 01:01:00
71,49,3,buy,2026-01-01 01:02:00
44,12,6,view,2026-01-01 01:03:00
8,47,1,view,2026-01-01 01:04:00
47,1,7,view,2026-01-01 01:05:00
35,26,1,fav,2026-01-01 01:06:00
78,14,5,view,2026-01-01 01:07:00
81,38,10,view,2026-01-01 01:08:00
36,37,8,view,2026-01-01 01:09:00
50,11,4,view,2026-01-01 01:10:00
4,36,5,view,2026-01-01 01:11:00
2,13,4,view,2026-01-01 01:12:00
6,43,4,fav,2026-01-01 01:13:00
54,3,8,view,2026-01-01 01:14:00
4,33,2,view,2026-01-01 01:15:00
54,6,1,view,2026-01-01 01:16:00
93,50,3,fav,2026-01-01 01:17:00
63,10,9,cart,2026-01-01 01:18:00
18,5,4,view,2026-01-01 01:19:00
90,23,10,view,2026-01-01 01:20:00
44,10,5,view,2026-01-01 01:21:00
34,44,2,view,2026-01-01 01:22:00
74,2,4,cart,2026-01-01 01:23:00
62,13,2,view,2026-01-01 01:24:00
100,40,2,view,2026-01-01 01:25:00
14,2,4,view,2026-01-01 01:26:00
95,20,6,cart,2026-01-01 01:27:00
48,1,7,view,2026-01-01 01:28:00
15,37,10,view,2026-01-01 01:29:00
72,9,3,view,2026-01-01 01:30:00
78,17,3,cart,2026-01-01 01:31:00
87,9,10,view,2026-01-01 01:32:00
62,11,6,view,2026-01-01 01:33:00
40,15,3,view,2026-01-01 01:34:00
85,24,2,view,2026-01-01 01:35:00
80,38,8,view,2026-01-01 01:36:00
82,35,5,view,2026-01-01 01:37:00
53,30,1,view,2026-01-01 01:38:00
24,31,3,view,2026-01-01 01:39:00
26,49,10,view,2026-01-01 01:40:00
89,5,8,cart,2026-01-01 01:41:00
60,44,4,view,2026-01-01 01:42:00
41,50,7,buy,2026-01-01 01:43:00
29,14,10,view,2026-01-01 01:44:00
15,11,2,view,2026-01-01 01:45:00
45,9,7,view,2026-01-01 01:46:00
65,34,5,view,2026-01-01 01:47:00
89,12,5,view,2026-01-01 01:48:00
71,35,6,view,2026-01-01 01:49:00
9,35,9,view,2026-01-01 01:50:00
